query_name,total_all_years
cardiovascular (primary search + cardiovascular tags) - pharma,8013
cardiovascular (primary search + cardiovascular tags) - uni,124739
endocrinology (primary search + endocrinology tags) - pharma,13259
endocrinology (primary search + endocrinology tags) - uni,125790
gastroenterology  (primary search + gastroenterology tags) - pharma,10109
gastroenterology  (primary search + gastroenterology tags) - uni,68509
genitourinary disorders (including nephrology)  (primary search + genitourinary tags) - pharma,5314
genitourinary disorders (including nephrology)  (primary search + genitourinary tags) - uni,45065
immunology (primary search + immunology tags) - pharma,16775
immunology (primary search + immunology tags) - uni,124616
microbiology (inc infections)  (primary search + microbiology tags) - pharma,6728
microbiology (inc infections)  (primary search + microbiology tags) - uni,78301
oncology (primary search + oncology tags) - pharma,29128
oncology (primary search + oncology tags) - uni,240928
pharmacology (primary search + pharmacology tags) - pharma,21545
pharmacology (primary search + pharmacology tags) - uni,112517
psychiatry (primary search + psychiatry tags) - pharma,6252
psychiatry (primary search + psychiatry tags) - uni,157497
respiratory (primary search + respiratory tags) - pharma,5921
respiratory (primary search + respiratory tags) - uni,37271
