institution_name,other_names,ror_id,ror_id_with_quotes,child_organizations,custom_query_override,query_medicine,non-oa,open_access,total
Pfizer,NA,01xdqrp08,"""01xdqrp08""",NA,NA,"(author.affiliation.name:(""pfizer"") OR author.affiliation.ror_id_lineage:(""01xdqrp08"")) AND publication_type:""journal article"" AND date_published>=now-24M AND date_published<=now-12M AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")",269,886,1155
Roche,hoffmann-la roche,00by1q217,"""00by1q217""",genentech,"""roche"" OR ""hoffmann-la roche"" OR ""genentech"" NOT ""La Roche College""","(author.affiliation.name:(""roche"" OR ""hoffmann-la roche"" OR ""genentech"" NOT ""La Roche College"") OR author.affiliation.ror_id_lineage:(""00by1q217"")) AND publication_type:""journal article"" AND date_published>=now-24M AND date_published<=now-12M AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")",368,1046,1414
Merck KGaA,emd serono,04b2dty93,"""04b2dty93""",NA,NA,"(author.affiliation.name:(""merck kgaa"" OR ""emd serono"") OR author.affiliation.ror_id_lineage:(""04b2dty93"")) AND publication_type:""journal article"" AND date_published>=now-24M AND date_published<=now-12M AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")",103,268,371
MSD,merck sharp & dohme,02891sr49,"""02891sr49""",NA,NA,"(author.affiliation.name:(""msd"" OR ""merck sharp & dohme"") OR author.affiliation.ror_id_lineage:(""02891sr49"")) AND publication_type:""journal article"" AND date_published>=now-24M AND date_published<=now-12M AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")",332,651,983
Johnson & Johnson,NA,03qd7mz70,"""03qd7mz70""",biosense webster and janssen,"""johnson & johnson"" OR ""janssen"" OR ""biosense webster""","(author.affiliation.name:(""johnson & johnson"" OR ""janssen"" OR ""biosense webster"") OR author.affiliation.ror_id_lineage:(""03qd7mz70"")) AND publication_type:""journal article"" AND date_published>=now-24M AND date_published<=now-12M AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")",260,796,1056
Bristol Myers Squibb,NA,00gtmwv55,"""00gtmwv55""",myokardia,"""bristol myers squibb"" OR ""myokardia""","(author.affiliation.name:(""bristol myers squibb"" OR ""myokardia"") OR author.affiliation.ror_id_lineage:(""00gtmwv55"")) AND publication_type:""journal article"" AND date_published>=now-24M AND date_published<=now-12M AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")",180,488,668
Novartis,NA,02f9zrr09,"""02f9zrr09""",NA,NA,"(author.affiliation.name:(""novartis"") OR author.affiliation.ror_id_lineage:(""02f9zrr09"")) AND publication_type:""journal article"" AND date_published>=now-24M AND date_published<=now-12M AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")",257,726,983
AstraZeneca,NA,04r9x1a08,"""04r9x1a08""",NA,NA,"(author.affiliation.name:(""astrazeneca"") OR author.affiliation.ror_id_lineage:(""04r9x1a08"")) AND publication_type:""journal article"" AND date_published>=now-24M AND date_published<=now-12M AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")",280,748,1028
Eli Lilly,NA,01qat3289,"""01qat3289""",NA,NA,"(author.affiliation.name:(""eli lilly"") OR author.affiliation.ror_id_lineage:(""01qat3289"")) AND publication_type:""journal article"" AND date_published>=now-24M AND date_published<=now-12M AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")",134,476,610
GlaxoSmithKline,gsk,01xsqw823,"""01xsqw823""",NA,NA,"(author.affiliation.name:(""glaxosmithkline"" OR ""gsk"") OR author.affiliation.ror_id_lineage:(""01xsqw823"")) AND publication_type:""journal article"" AND date_published>=now-24M AND date_published<=now-12M AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")",130,657,787
