institution_name,other_names,ror_id,ror_id_with_quotes,child_organizations,custom_query_override,query_medicine
Pfizer,NA,01xdqrp08,"""01xdqrp08""",NA,NA,"(author.affiliation.name:(""pfizer"") OR author.affiliation.ror_id_lineage:(""01xdqrp08"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Roche,hoffmann-la roche,00by1q217,"""00by1q217""",genentech,"""roche"" OR ""hoffmann-la roche"" OR ""genentech"" NOT ""La Roche College""","(author.affiliation.name:(""roche"" OR ""hoffmann-la roche"" OR ""genentech"" NOT ""La Roche College"") OR author.affiliation.ror_id_lineage:(""00by1q217"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Merck KGaA,emd serono,04b2dty93,"""04b2dty93""",NA,NA,"(author.affiliation.name:(""merck kgaa"" OR ""emd serono"") OR author.affiliation.ror_id_lineage:(""04b2dty93"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
MSD,merck sharp & dohme,02891sr49,"""02891sr49""",NA,NA,"(author.affiliation.name:(""msd"" OR ""merck sharp & dohme"") OR author.affiliation.ror_id_lineage:(""02891sr49"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Johnson & Johnson,NA,03qd7mz70,"""03qd7mz70""",biosense webster and janssen,"""johnson & johnson"" OR ""janssen"" OR ""biosense webster""","(author.affiliation.name:(""johnson & johnson"" OR ""janssen"" OR ""biosense webster"") OR author.affiliation.ror_id_lineage:(""03qd7mz70"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Bristol Myers Squibb,NA,00gtmwv55,"""00gtmwv55""",myokardia,"""bristol myers squibb"" OR ""myokardia""","(author.affiliation.name:(""bristol myers squibb"" OR ""myokardia"") OR author.affiliation.ror_id_lineage:(""00gtmwv55"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Novartis,NA,02f9zrr09,"""02f9zrr09""",NA,NA,"(author.affiliation.name:(""novartis"") OR author.affiliation.ror_id_lineage:(""02f9zrr09"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
AstraZeneca,NA,04r9x1a08,"""04r9x1a08""",NA,NA,"(author.affiliation.name:(""astrazeneca"") OR author.affiliation.ror_id_lineage:(""04r9x1a08"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Eli Lilly,NA,01qat3289,"""01qat3289""",NA,NA,"(author.affiliation.name:(""eli lilly"") OR author.affiliation.ror_id_lineage:(""01qat3289"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
GlaxoSmithKline,gsk,01xsqw823,"""01xsqw823""",NA,NA,"(author.affiliation.name:(""glaxosmithkline"" OR ""gsk"") OR author.affiliation.ror_id_lineage:(""01xsqw823"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
AbbVie,NA,02g5p4n58,"""02g5p4n58""",NA,NA,"(author.affiliation.name:(""abbvie"") OR author.affiliation.ror_id_lineage:(""02g5p4n58"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Sanofi,sanofi-aventis,02n6c9837,"""02n6c9837""",NA,NA,"(author.affiliation.name:(""sanofi"" OR ""sanofi-aventis"") OR author.affiliation.ror_id_lineage:(""02n6c9837"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Gilead Sciences,NA,056546b03,"""056546b03""",NA,NA,"(author.affiliation.name:(""gilead sciences"") OR author.affiliation.ror_id_lineage:(""056546b03"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Takeda,NA,04hjbmv12,"""04hjbmv12""",NA,NA,"(author.affiliation.name:(""takeda"") OR author.affiliation.ror_id_lineage:(""04hjbmv12"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
Boehringer Ingelheim,NA,00q32j219,"""00q32j219""",NA,NA,"(author.affiliation.name:(""boehringer ingelheim"") OR author.affiliation.ror_id_lineage:(""00q32j219"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")"
