institution_name,other_names,ror_id,ror_id_with_quotes,child_organizations,custom_query_override,query_total
Pfizer,NA,01xdqrp08,"""01xdqrp08""",NA,NA,"(author.affiliation.name:(""pfizer"") OR author.affiliation.ror_id_lineage:(""01xdqrp08"")) AND publication_type:""journal article"" AND date_published>=now-10y"
Roche,hoffmann-la roche,00by1q217,"""00by1q217""",genentech,"""roche"" OR ""hoffmann-la roche"" OR ""genentech"" NOT ""La Roche College""","(author.affiliation.name:(""roche"" OR ""hoffmann-la roche"" OR ""genentech"" NOT ""La Roche College"") OR author.affiliation.ror_id_lineage:(""00by1q217"")) AND publication_type:""journal article"" AND date_published>=now-10y"
Merck KGaA,emd serono,04b2dty93,"""04b2dty93""",NA,NA,"(author.affiliation.name:(""merck kgaa"" OR ""emd serono"") OR author.affiliation.ror_id_lineage:(""04b2dty93"")) AND publication_type:""journal article"" AND date_published>=now-10y"
MSD,merck sharp & dohme,02891sr49,"""02891sr49""",NA,NA,"(author.affiliation.name:(""msd"" OR ""merck sharp & dohme"") OR author.affiliation.ror_id_lineage:(""02891sr49"")) AND publication_type:""journal article"" AND date_published>=now-10y"
Johnson & Johnson,NA,03qd7mz70,"""03qd7mz70""",biosense webster and janssen,"""johnson & johnson"" OR ""janssen"" OR ""biosense webster""","(author.affiliation.name:(""johnson & johnson"" OR ""janssen"" OR ""biosense webster"") OR author.affiliation.ror_id_lineage:(""03qd7mz70"")) AND publication_type:""journal article"" AND date_published>=now-10y"
Bristol Myers Squibb,NA,00gtmwv55,"""00gtmwv55""",myokardia,"""bristol myers squibb"" OR ""myokardia""","(author.affiliation.name:(""bristol myers squibb"" OR ""myokardia"") OR author.affiliation.ror_id_lineage:(""00gtmwv55"")) AND publication_type:""journal article"" AND date_published>=now-10y"
Novartis,NA,02f9zrr09,"""02f9zrr09""",NA,NA,"(author.affiliation.name:(""novartis"") OR author.affiliation.ror_id_lineage:(""02f9zrr09"")) AND publication_type:""journal article"" AND date_published>=now-10y"
AstraZeneca,NA,04r9x1a08,"""04r9x1a08""",NA,NA,"(author.affiliation.name:(""astrazeneca"") OR author.affiliation.ror_id_lineage:(""04r9x1a08"")) AND publication_type:""journal article"" AND date_published>=now-10y"
Eli Lilly,NA,01qat3289,"""01qat3289""",NA,NA,"(author.affiliation.name:(""eli lilly"") OR author.affiliation.ror_id_lineage:(""01qat3289"")) AND publication_type:""journal article"" AND date_published>=now-10y"
GlaxoSmithKline,gsk,01xsqw823,"""01xsqw823""",NA,NA,"(author.affiliation.name:(""glaxosmithkline"" OR ""gsk"") OR author.affiliation.ror_id_lineage:(""01xsqw823"")) AND publication_type:""journal article"" AND date_published>=now-10y"
